SNAPSHOT 16: [55.0, 23.0, 52.5, 21.0]: 8589934592, cpu_percents(2436628480) 6153306112, 4382908416, sdiskio(read_count=14813428, write_count=2527604, read_bytes=217786374144, write_bytes=68811698176, read_time=3448844, write_time=602182), snetio(bytes_sent=446414399, bytes_recv=6862484546, packets_sent=3010107, packets_recv=6736683, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 17: [54.5, 21.0, 47.5, 19.0]: 8589934592, cpu_percents(2427834368) 6162100224, 4391342080, sdiskio(read_count=14813433, write_count=2527686, read_bytes=217787684864, write_bytes=68812169216, read_time=3448849, write_time=602190), snetio(bytes_sent=446424580, bytes_recv=6862500897, packets_sent=3010207, packets_recv=6736817, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 18: [59.0, 26.0, 56.0, 22.0]: 8589934592, cpu_percents(2411782144) 6178152448, 4406104064, sdiskio(read_count=14813445, write_count=2527697, read_bytes=217789917184, write_bytes=68812750848, read_time=3448858, write_time=602199), snetio(bytes_sent=446429493, bytes_recv=6862510885, packets_sent=3010256, packets_recv=6736887, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 19: [49.0, 19.8, 45.0, 16.0]: 8589934592, cpu_percents(2380480512) 6209454080, 4437688320, sdiskio(read_count=14813455, write_count=2527814, read_bytes=217789978624, write_bytes=68813627392, read_time=3448860, write_time=602210), snetio(bytes_sent=446454453, bytes_recv=6862537370, packets_sent=3010418, packets_recv=6737056, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 20: [53.0, 24.0, 48.0, 18.2]: 8589934592, cpu_percents(2361638912) 6228295680, 4456906752, sdiskio(read_count=14813457, write_count=2527821, read_bytes=217790502912, write_bytes=68813668352, read_time=3448863, write_time=602213), snetio(bytes_sent=446460764, bytes_recv=6862543025, packets_sent=3010458, packets_recv=6737103, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 21: [15.8, 5.0, 12.9, 4.0]: 8589934592, cpu_percents(2269196288) 6320738304, 4548771840, sdiskio(read_count=14813647, write_count=2527936, read_bytes=217794562048, write_bytes=68815007744, read_time=3448902, write_time=602229), snetio(bytes_sent=446460884, bytes_recv=6862546954, packets_sent=3010460, packets_recv=6737119, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 22: [46.5, 26.0, 44.6, 24.8]: 8589934592, cpu_percents(2348560384) 6241374208, 4468555776, sdiskio(read_count=14813693, write_count=2528093, read_bytes=217797351424, write_bytes=68818186240, read_time=3448925, write_time=602245), snetio(bytes_sent=446485445, bytes_recv=6862573441, packets_sent=3010614, packets_recv=6737278, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 23: [27.7, 11.0, 24.0, 9.0]: 8589934592, cpu_percents(2362400768) 6227533824, 4443676672, sdiskio(read_count=14814437, write_count=2528114, read_bytes=217812412416, write_bytes=68818690048, read_time=3449032, write_time=602255), snetio(bytes_sent=446486835, bytes_recv=6862577305, packets_sent=3010623, packets_recv=6737297, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 24: [21.4, 7.8, 15.7, 8.8]: 8589934592, cpu_percents(2336092160) 6253842432, 4397711360, sdiskio(read_count=14814523, write_count=2528292, read_bytes=217821554688, write_bytes=68820115456, read_time=3449062, write_time=602268), snetio(bytes_sent=446487778, bytes_recv=6862579480, packets_sent=3010632, packets_recv=6737309, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 25: [43.6, 16.8, 39.6, 14.9]: 8589934592, cpu_percents(2254565376) 6335369216, 4404023296, sdiskio(read_count=14815009, write_count=2528314, read_bytes=217848100864, write_bytes=68820791296, read_time=3449170, write_time=602278), snetio(bytes_sent=446519714, bytes_recv=6862612692, packets_sent=3010808, packets_recv=6737488, errin=0, errout=0, dropin=0, dropout=0)
